Editeur,Nationalite,Chambre,Duree,Review_title,Review_score,Commentaire
Samira,France,Chambre Deluxe,2 nuits · juillet 2022,Complément de séjour,"7,0","A aimé  · L emplacement, la chambre spacieuse, le personnel Très sympa, les repas du restaurant,
N'a pas aimé  · La piscine pas propre les gens y fume et y mange, le pti dej pas fameux appareil très vieux et situé au sous sol de l hôtel, la sdb très petite, la vue de la chambre donné sur le toit pas du tout agréable"
Catherine,France,Chambre Double ou Lits Jumeaux Standard,2 nuits · septembre 2022,Fabuleux,"9,0","A aimé  · Gentillesse du personnel 
Chambre confortable 
Bonne situation. 
Piscine pour se reposer après les visites
N'a pas aimé  · Rien"
Hajjam,Maroc,Chambre Double ou Lits Jumeaux Standard,1 nuit · août 2022,Agréable,"7,0","A aimé  · L'établissement dans son ensemble
N'a pas aimé  · Les clients de la discothèque d'à côté"
Yacine,France,Chambre Deluxe,3 nuits · août 2022,Je recommande cet hôtel,"8,0",A aimé  · Très bon rapport qualité/prix
Mohammed,Maroc,Chambre Deluxe,2 nuits · août 2022,Fabuleux,"9,0",N'a pas aimé  · Payage de stationnement
Regine,France,Chambre Double ou Lits Jumeaux Supérieure,7 nuits · juillet 2022,Bien,"7,0","A aimé  · le personnel serviable ; le lit confortable ; hôtel
hotel bien situé
N'a pas aimé  · la piscine avait une odeur très forte 
d’acide qui piquait les yeux ; pas de maître 
nageur ; pas très propre. la Clim des 
chambres qui s’éteint quand on sort !"
Camel,France,Chambre Double ou Lits Jumeaux Standard,3 nuits · août 2022,Fabuleux,"9,0","A aimé  · Hôtel très propre le personnel est très agréable on a apprécié beaucoup l emplacement du site, la restauration est très bonne et pas chère, le petit déjeuner très copieux, les chambre sont spacieuse, je reviendrais sans hésiter"
Nini,France,Chambre Double ou Lits Jumeaux Standard,5 nuits · août 2022,Hôtel agréable,"8,0","A aimé  · Hôtel propre chambre spacieuse literie parfaite, bonne douche.
Petit déjeuner bien dans restaurant au sous sol bien décoré.
Déjeuner et dîner possible au restaurant au rdc.
un restaurant bien décoré est agréable pour le dîner.
Un restaurant plus moderne pour le midi agréable.
Bonne cuisine avec un service 24/24 en chambre possible.
Un coin restaurant en rooftop  côté de la piscine agréable.
La piscine agréable même si les produits de désinfection étaient trop fort. Petite salle de sport appréciable.
Un séjour sympathique où nous reviendrons...
N'a pas aimé  · La climatisation dans la chambre mal placée directement sur les visages quand on est couché, dommage car nécessaire en plein mois d août."
Aziz,France,Chambre Deluxe,2 nuits · août 2022,Très bon rapport qualité prix,"7,0","A aimé  · Emplacement : proche des café, restaurant, etc
Rapport qualité prix imbattable
N'a pas aimé  · Piscine, bruit le soir et dommage pas de parking"
Guillaume,France,Chambre Deluxe,1 nuit · août 2022,Fabuleux,"9,0","A aimé  · Hôtel très agréable et propre.
Le petit déjeuner est très bon.
La gentillesse du personnel"
Catherine,France,Chambre Double ou Lits Jumeaux Standard,1 nuit · août 2022,Très bien,"8,0",A aimé  · Confort de la literie.  Chaînes internationales au niveau TV. Petit déjeuner copieux.
Houda,Suisse,Suite Junior,2 nuits · juillet 2022,Très bien,"8,0","A aimé  · Piscine, salle de sport
N'a pas aimé  · La salle pour le petit déjeuner pour question de sécurité"
Fatiha,France,Chambre Double ou Lits Jumeaux Supérieure,7 nuits · août 2022,on a passés un très bon séjour à Marrakech,"8,0","A aimé  · j’ai aimé l’hôtel le personnel gentil et respectueux la propreté de la chambre a recommander
N'a pas aimé  · a améliorer le petit déjeuner si non rien à signaler"
Catherine,France,Chambre Deluxe,1 nuit · août 2022,bonne soirée étape,"7,0","A aimé  · sa situation dans le quartier Gueliz
N'a pas aimé  · une salle d’eau en état moyen"
Anais,France,Chambre Double ou Lits Jumeaux Supérieure,4 nuits · août 2022,Excellent !,"9,0","A aimé  · Chambre très propre, lit très confortable !
N'a pas aimé  · On entendait les autres clients dans le couloir"
Noura,Maroc,Chambre Double ou Lits Jumeaux Standard,3 nuits · juillet 2022,"Séjours simple, calme, chambre sécurisée.","8,0","A aimé  · Personnel de la cafétéria
N'a pas aimé  · Bruit des climatiseurs (un ensemble de machines installées sur le mur de notre balcon. Très bruillant.
Également, je n'ai pas apprécié àce que la femme de ménage cogne notre porte, pourtant on n'a pas mus la carte pour nous lui donner signe pour ranger notre chambre. J'ai senti comme si elle nous disait ""sortez de la  Gambie là là"""
Makalou,France,Chambre Double ou Lits Jumeaux Supérieure,14 nuits · août 2022,Bien,"7,0","A aimé  · Personnels.de.l hôtel agréable 
Proche de tous 
Rapport qualité satisfaisant
Petit varié
N'a pas aimé  · La lingerie peu agréable"
Laurent,France,Chambre Double ou Lits Jumeaux Standard,1 nuit · juillet 2022,Bien,"7,0","A aimé  · Au centre de gueliz proche de la poste et des restos à suchis donc pratique. Très bon rapport qualité prix.
N'a pas aimé  · Parfois un peu bruyant"
Zineb,France,Chambre Deluxe,1 nuit · juillet 2022,très bon séjour en famille,"8,0","A aimé  · l'hôtel est très bien situé,
la chambre était très spacieuse pour 2 adultes et 2 enfants, la literie est de très bonne qualité
l'hôtel est propre et accueillant, nous avons passé une excellente nuit dans cet hôtel
N'a pas aimé  · le petit déjeuner est bon mais pourrait être un peu amélioré"
Samira,France,Chambre Double ou Lits Jumeaux Standard,4 nuits · août 2022,Fabuleux,"9,0",A aimé  · bel emplacement
Jebly,France,Chambre Double ou Lits Jumeaux Supérieure,3 nuits · août 2022,très bon séjour,"8,0",A aimé  · accueil
Marie-laure,France,Chambre Deluxe,7 nuits · août 2022,J'ai passé une semaine de vacances correcte,"7,0","A aimé  · Les déjeuners étaient copieux,
Idéalement bien placé,
Le personnel est agréable,
les lits confortables
Présence d'une piscine un peu petite
N'a pas aimé  · La nuisance sonore due à une climatisation très très bruyante
Les travaux dans la rue (construction d'un bâtiment en face de l'hôtel) qui engendrent du bruit, une nuisance sonore très désagréable.."
Romane,France,Chambre Double ou Lits Jumeaux Supérieure,2 nuits · août 2022,Fabuleux,"9,0","A aimé  · le lit très confortable, la luminosité de la chambre et la localisation
N'a pas aimé  · le petit déjeuner, servi dans des plats sales et pas très bon"
Sylvie,France,Chambre Double ou Lits Jumeaux Standard,5 nuits · août 2022,Chouette séjour mais manque de tranquillité.,"8,0","A aimé  · Le petit déjeuner était bien. L'emplacement idéal. Chambre confortable et propre. Room  service appréciable.
N'a pas aimé  · Dernier étage bruyant. Tous les matins le personnel traîne les transats dès 8 heures du matin sur la terrasse. La tv ne marche jamais. Très mesquin au niveau des serviettes de piscine et certaines personnes du personnel très désagréable."
Jawal,France,Chambre Double ou Lits Jumeaux Supérieure,1 nuit · juillet 2022,Fabuleux,"9,0",A aimé  · Hôtel propre et bien situé
Saadi,France,Chambre Double ou Lits Jumeaux Standard,1 nuit · août 2022,Séjour agréable,"7,0","A aimé  · Emplacement et confort
N'a pas aimé  · Une mauvaise surprise nous attendait à notre arrivée : on nous a annoncé que la chambre n’était pas disponible et nous devait nous diriger vers un autre hôtel. L‘hôtel de rechange  était médiocre, vraiment médiocre. Je suis retourné à Hôtel Racine et j’ai exigé la chambre que j’ai réservée et là, par ‘’magie ‘’ la chambre était prête • Ce manque de sérieux ne doit pas exister . Merci"
Fatima,France,Chambre Double ou Lits Jumeaux Supérieure,1 nuit · août 2022,Hôtel bon rapport qualité prix et bien situé,"8,0","A aimé  · L'emplacement
N'a pas aimé  · Piscine exposée au soleil"
Ahmedmalek,Maroc,Chambre Double ou Lits Jumeaux Standard,1 nuit · juillet 2022,Fabuleux,"9,0","A aimé  · Un très bon hôtel je le recommande vivement. Les chambres sont spacieuses et propres, le personnel est très accueillant."
Fatima,France,Chambre Double ou Lits Jumeaux Standard,2 nuits · août 2022,reposant,"7,0","A aimé  · le personnel
N'a pas aimé  · les travaux"
Mérine,France,Chambre Double ou Lits Jumeaux Standard,3 nuits · juillet 2022,très bon séjour,"8,0","A aimé  · l’accueille était parfait
N'a pas aimé  · l’air conditionné de la chambre était pas assez fort"
Coralie,France,Chambre Double ou Lits Jumeaux Standard,3 nuits · août 2022,bon séjour,"7,0","A aimé  · le prix et l’emplacement
N'a pas aimé  · la Clim"
Youssef,Belgique,Chambre Deluxe,3 nuits · août 2022,Bien,"7,0","A aimé  · Personnel très accueillant.
Propre
Très bon petit déjeuner
Excellent rapport qualité /prix
N'a pas aimé  · Pas de parking"
Saida,France,Chambre Double ou Lits Jumeaux Standard,4 nuits · août 2022,Bien,"7,0","A aimé  · Le personnel de l’hôtel est à votre écoute 
Très bien placer
N'a pas aimé  · Déjeuner manque des choses …"
Anna,France,Chambre Double ou Lits Jumeaux Supérieure,2 nuits · août 2022,Très agréable,"9,0","A aimé  · L’emplacement, le lit, la chambre, le petit-déjeuner, le personnel, la climatisation, la télé, la propreté
N'a pas aimé  · Trop de chlore dans la piscine"
Ilham,France,Chambre Double ou Lits Jumeaux Supérieure,7 nuits · juillet 2022,Je reviendrai,"7,0","A aimé  · L’emplacement et la chambre est correct pour le prix
N'a pas aimé  · Rien"
Tanja,Suisse,Chambre Double ou Lits Jumeaux Standard,4 nuits · août 2022,Super,"8,0","A aimé  · Bon emplacement, le restaurant de l’hôtel est très bon à de bon prix. Le buffet du petit déjeuner est varié avec des jus frais. Lit grand et confortable. Le personnel est très accueillant et très gentil, ils parlent tous français. Toujours souriant. Ouassil qui s’occupe des excursions est gentil et très professionnel. Il a tout fait pour satisfaire les envies qu’on avait. Il trouve des solutions à tout. Grâce à lui on a fait de belles excursions, c’était top.
N'a pas aimé  · la salle de bains devrait être un peu rénovée"
Mohammed,Belgique,Chambre Double ou Lits Jumeaux Standard,3 nuits · août 2022,pour un séjour de courte à proximité du centre ville et des attractions de Marrakech mais néanmoins avec un confort et u,"8,0","A aimé  · l’accueil 
proximité 
réactivité"
Marie,France,Chambre Double ou Lits Jumeaux Standard,3 nuits · août 2022,Je recommande cet hôtel,"8,0","A aimé  · l’emplacement, l’accueil, le buffet du petit-déjeuner, le changement de serviette chaque jour
la piscine sur le toit
N'a pas aimé  · la propreté de la douche, le pommeau de douche avec du calcaire et très peu de jet"
Leila,France,Chambre Deluxe,1 nuit · août 2022,VOYAGE A REFAIRE DANS CET HOTEL POUR UNE DUREE PLUS LONGUE,"9,0","A aimé  · Un très bon accueil, la situation de l'hôtel est au calme, il faudra compter 20 minutes de marche pour arriver jusque la place JAM EL FNA.
Petit déjeuner copieux, jus d'orange excellent, chambre spacieuse et propre.
N'a pas aimé  · 1 nuit passée donc pas assez de recul pour indiquer un point négatif, s'il devait y en avoir 1"
Yassine,Maroc,Chambre Double ou Lits Jumeaux Standard,6 nuits · juillet 2022,Bien,"7,0","A aimé  · la chambre propre et le personnel est sympathique
N'a pas aimé  · il avait trop du clore dans la piscine j’avais trop mal a mes yeux tous mon séjour  et trop de bruit a l’extérieur a cause du bar qui est à côté de l’hôtel on n’arrive pas à dormir il n’y a pas d’isolation des fenêtres"
Abderrahim,France,Chambre Double ou Lits Jumeaux Standard,1 nuit · août 2022,Très bien,"8,0","A aimé  · La chambre
N'a pas aimé  · Le petit-déjeuner"
Valerie,France,Chambre Double ou Lits Jumeaux Standard,3 nuits · juillet 2022,Un des meilleurs rapports qualité-prix que j'ai pu avoir. a tester sans hésitation,"9,0","A aimé  · La propreté, le confort du lit, le Wifi fonctionnel, l'excellent petit déjeuner
N'a pas aimé  · rien"
Khadija,France,Suite Junior,2 nuits · juillet 2022,Fabuleux,"9,0","A aimé  · Le personnel est au top, les chambres super confortables et le petit-déjeuner excellent.  Je recommande"
Anne,France,Chambre Deluxe,1 nuit · juillet 2022,Fabuleux,"9,0","A aimé  · La gentillesse du personnel, l'état de la chambre, le rapport qualité prix
N'a pas aimé  · L'excès de chlore dans la piscine"
Béchir,France,Chambre Double ou Lits Jumeaux Supérieure,3 nuits · juillet 2022,Très bien,"8,0","A aimé  · La propreté de l'hôtel et le petit déjeuner
N'a pas aimé  · La piscine pas top"
Amelamels,France,Chambre Double ou Lits Jumeaux Standard,1 nuit · mai 2022,Très bien,"8,0","A aimé  · La jeune femme de la reservation adorable et tres professionnelle ainsi que le receptionniste
N'a pas aimé  · Piscine un peu petite sur le toit, personnel du petit dejeuner pas attentif au besoin du client et buffet pas très fourni ni reapprovisionner regulierement"
Arlette,France,Chambre Double ou Lits Jumeaux Standard,1 nuit · août 2022,très agréable séjour nous y reviendrons avec plaisir,"8,0","A aimé  · la gentillesse du personnel
la propreté les équipements
le confort de la chambre 
le déjeuner très copieux et varié
N'a pas aimé  · RAS"
Giselle,France,Chambre Double ou Lits Jumeaux Standard,2 nuits · juillet 2022,très bon séjour,"9,0","A aimé  · bon emplacement, belle structure avec piscine bien aménagée et petite salle de sport,  room service h24 et restaurant"
Norddine,Maroc,Chambre Deluxe,2 nuits · juillet 2022,Bien,"7,0","A aimé  · Propreté de la chambre
N'a pas aimé  · Le bruit de la rue et la musique forte au petit-déjeuner"
Si,Belgique,Chambre Double ou Lits Jumeaux Supérieure,1 nuit · août 2022,Bon ration pour un 3 étoiles,"8,0","A aimé  · Il s'agit de mon troisieme séjours depuis 4 mois  malgré l'influence en cette periode estivale le service reste bien present!
Le ratio qualites / prix reste plus que correct en cette période estivale et de week-end de fête du trône.
N'a pas aimé  · Rien à signaler"
Younes,France,Chambre Double ou Lits Jumeaux Supérieure,1 nuit · août 2022,,"8,0",Ce commentaire n'apparaît pas car il ne respecte pas notre charte.
Yassir,France,Chambre Deluxe,1 nuit · juillet 2022,séjour agréable,"9,0","A aimé  · Plutôt positif pour le rapport qualité prix. ainsi que pour la propreté
N'a pas aimé  · l’agencement et le contenu du petit-déjeuner légèrement brouillon   trop de chlore dans la piscine"
Si,Belgique,Chambre Double ou Lits Jumeaux Supérieure,1 nuit · juin 2022,Bon ratio qualité/prix,"8,0","A aimé  · R.A.S la perfection n'existe pas mais le ratio qualité/Prix et largement respecté
N'a pas aimé  · Rien à ajouté"
Zahri,,Chambre Deluxe,2 nuits · juillet 2022,Bien,"7,0",N'a pas aimé  · Trop de bruit extérieur et intérieur les personnelles parle trop entre eux rigole dans les couloirs de l'hôtel tard la nuit jusqu'à petit matin
Gil,France,Chambre Double ou Lits Jumeaux Supérieure,1 nuit · juillet 2022,Fabuleux,"9,0",A aimé  · Emplacement et propreté
Tiffany,France,Chambre Double ou Lits Jumeaux Standard,6 nuits · juillet 2022,excellent,"9,0","A aimé  · le personnel, notamment Rachid,Fathia et son équipe. l’équipe des cuisines et de la réception. efficacité et réactivité au niveau des demandes personnelles. le petit déjeuné copieux et bon. propreté irréprochable. Et l’équipe toujours avec le sourire
N'a pas aimé  · rien"
Abm81,Maroc,Chambre Double ou Lits Jumeaux Supérieure,2 nuits · juillet 2022,Très bien,"8,0",N'a pas aimé  · L'heure de check in est tardif. 15H !!
Franck-éric,Côte-d'Ivoire,Chambre Double ou Lits Jumeaux Standard,3 nuits · juillet 2022,Très beau séjour. Je le recommande à 100%,"8,0","A aimé  · J'ai aimé l'accueil. Le petit déjeuner excellent
N'a pas aimé  · La piscine trop salée"
Khadija,Belgique,Chambre Double ou Lits Jumeaux Supérieure,1 nuit · juillet 2022,"Parfait, je recommande sans hésitation","9,0","A aimé  · Tout : emplacement, personnel, service, petit-déjeuner, etc…
N'a pas aimé  · Rien"
Feryale,France,Chambre Double ou Lits Jumeaux Standard,5 nuits · juillet 2022,Très bien,"8,0","A aimé  · L hôtel est bien situé 
le personnel est accueillant  serviable et d une gentillesse exceptionnelle"
Naziha,France,Chambre Double ou Lits Jumeaux Standard,2 nuits · juillet 2022,Très bien,"8,0","A aimé  · Personnelle très agréable  chambre confortable  très bien situer  le petit bar ds la chambre  pour  mettre  l'insuline de mon mari c étais  au top merci bcp
N'a pas aimé  · J ai tout apprécié  rien à dire parfait"
Oussama,Belgique,Chambre Deluxe,1 nuit · juillet 2022,Fabuleux,"9,0",A aimé  · Rien a dire top
Catherine,France,Chambre Double ou Lits Jumeaux Standard,1 nuit · juillet 2022,Très bon rapport qualité/prix,"7,0","A aimé  · Petit déjeuner complet et bon. Très bon emplacement
N'a pas aimé  · Salle de bain. Évier bouché."
Agnieszka,France,Chambre Double ou Lits Jumeaux Standard,1 nuit · juillet 2022,Hôtel pour un bon séjour,"7,0","A aimé  · Chambre spacieuse et literie confortable, il y a un large choix au petit déjeuner, personnel a l'écoute, bon emplacement. Correspond aux attentes d'un hôtel 3*
N'a pas aimé  · Dommage que toutes les prestations doivent être payés  en espèces, même le restaurant mais on nous communique pas à l'avance. Le manque de communication en général est un problème, on prend rdv au spa à la réception et le jour du rdv le spa ne savait pas qu'on devait venir, le chauffeur pour l'excursion qui est en retard mais nous ne sommes pas mis au courant."
Fatiha,Maroc,Chambre Double ou Lits Jumeaux Standard,1 nuit · juillet 2022,Pas mal,"8,0","A aimé  · L emplacement idéal
N'a pas aimé  · Le personnel"
Céline,France,Chambre Double ou Lits Jumeaux Supérieure,5 nuits · juin 2022,rapport qualité/prix au top,"9,0","A aimé  · chambre confortable literie agréable (oreillers incroyables)
piscine sur le toit avec des transats très moelleux 
très bien situé
N'a pas aimé  · ménage du début de séjour avant d’arriver pourrait être fait encore mieux dans la salle de bain 
manque une poubelle dans la chambre (1 seule dans la salle de bains
travaux à côté (construction immeuble donc un peu de bruit en haut à la piscine mais pas dans la chambre)
petit déjeuner pas assez complet et varié"
Sara,Maroc,Chambre Double ou Lits Jumeaux Supérieure,5 nuits · juillet 2022,Bien,"7,0","A aimé  · La propreté
N'a pas aimé  · Le petit-déjeuner"
Safouane,Maroc,Chambre Double ou Lits Jumeaux Standard,2 nuits · juillet 2022,agréable,"9,0","A aimé  · le professionnalisme du personnel et la qualité de l’accueil
N'a pas aimé  · un peu de bruit a cause du restaurant en face"
Mohamed,France,Chambre Deluxe,1 nuit · juillet 2022,Très bien,"8,0",N'a pas aimé  · Piscine produit dans l eau irritant
Youness,Belgique,Chambre Double ou Lits Jumeaux Standard,2 nuits · juillet 2022,Très bien,"8,0",A aimé  · La sourire et la gentillesse de ses personnelles
Fatima,France,Chambre Deluxe,2 nuits · juillet 2022,Fabuleux,"9,0","A aimé  · Confort. Propreté et emplacement
N'a pas aimé  · Placée au dernier étage. Terrasse un peu bruyante le matin. Bruits de chaises"
B,France,Chambre Double ou Lits Jumeaux Standard,2 nuits · juillet 2022,Satisfaite ❤⭐,"8,0","A aimé  · Vraiment magnifique 
Personnel agréable 
Efficacité 
Chambre spacieuse 
Je recommande fortement"
Nabiha,France,Chambre Double ou Lits Jumeaux Supérieure,1 nuit · juillet 2022,Bien,"7,0","A aimé  · Hotel bien situé, chambre spacieuse et bien décoré. Petit déjeuner bon et choix variée. Le personnel est agréable et à l'écoute. Bel hotel dans l'ensemble.
N'a pas aimé  · Dommage que les équipements soient vétustes surtout les salles de bains et les portes abîmés et qui ferment et ouvrent difficilement. La piscine est beaucoup trop chlorée et pareil pour les équipements de piscine tels que le mobilier qui est mal entretenu et vétusté..."
Géraldine,France,Chambre Double ou Lits Jumeaux Standard,3 nuits · juillet 2022,Fabuleux,"9,0","A aimé  · La réception. Hassan et Rachid qui nous ont parfaitement bien accueilli.
La bienveillance et la gentillesse du personnel.
N'a pas aimé  · Pas de balcon sur la chambre
Manque d'insonorisation 
Le bruit de la clim et des travaux dans la rue."
Andre,Guadeloupe,Chambre Double ou Lits Jumeaux Standard,5 nuits · juillet 2022,BON SEJOUR,"8,0",A aimé  · LE PERSONNEL ETAIT POLI à l'attente de nos preoccupations
Chafaique,France,Chambre Double ou Lits Jumeaux Standard,2 nuits · juillet 2022,Fabuleux,"9,0",A aimé  · pa cher et bonne emplacement très propre
Aitboulbarod,Arabie saoudite,Chambre Double ou Lits Jumeaux Standard,3 nuits · juillet 2022,bien et à refaire,"8,0","A aimé  · l’emplacement le confort du lit et la piscine
N'a pas aimé  · le petit déjeuner a améliorer pas bcp de choix et le thé froid"
Zakaria,Maroc,Chambre Double ou Lits Jumeaux Supérieure,1 nuit · juillet 2022,Très bien,"8,0","A aimé  · Personnel acceuillant, lit confortable, petit dej correct, serviettes et couvertures  suffisantes, situation géographique, rapport qualité prix interessant
N'a pas aimé  · L'eau coule de lavabo,chambre moins spacieuse"
Et-tayeb,Maroc,Chambre Double ou Lits Jumeaux Standard,2 nuits · juillet 2022,Bien,"7,0","A aimé  · pescine
N'a pas aimé  · petit déjeuner"
Samira,France,Chambre Deluxe,5 nuits · juillet 2022,Entre filles,"8,0","A aimé  · L emplacement, les repas, la propreté du 1er jour de la chambre, Mr Hassan de la réception, les serveurs de la restauration ( Abdellah et Rachida)
N'a pas aimé  · La piscine trop petite et pas propre, le pti dej au -2 limite au sous sol sans fenêtre!!!! la sdb trop petite avec 1 seul miroir, le ménage fait chaque jour partiellement,"
Nouheila,France,Chambre Double ou Lits Jumeaux Supérieure,1 nuit · juillet 2022,Très bonne expérience,"9,0","A aimé  · La chambre est spacieuse et propre. L’emplacement est idéal et le personnel très accueillant.
N'a pas aimé  · peu de choix dans le buffet du petit déjeuner"
Founax,France,Chambre Double ou Lits Jumeaux Supérieure,1 nuit · juin 2022,Fabuleux,"9,0","A aimé  · Tout était parfait, toujours aussi accueillant !
N'a pas aimé  · Rien."
Antoni,France,Chambre Double ou Lits Jumeaux Supérieure,7 nuits · juillet 2022,Fabuleux,"9,0","A aimé  · L'emplacement, le room-service , la piscine, le lit kingsize , les chaînes françaises
N'a pas aimé  · Manques de choix au petit déjeuner"
Houda,France,Chambre Double ou Lits Jumeaux Supérieure,4 nuits · juillet 2022,hôtel sympa proche de tout spa de l’hôtel nul,"9,0","A aimé  · là gentillesse du personnel et son efficacité à résoudre les petits problèmes.
N'a pas aimé  · le spa nul massage nul et personnel du spa pas aimable du tout ! 
massage pas agréable du tout 
ma fille a fait une pose de vernis la dame n’a même pas pris le temps du lui limer les ongles num ! lieux du spa nul"
Inès,France,Chambre Double ou Lits Jumeaux Standard,5 nuits · juillet 2022,Séjour très agréable et reposant,"9,0","A aimé  · Confort, piscine, propreté, rapport qualité-prix, disponibilité à l’accueil
N'a pas aimé  · Le buffet du petit déjeuner n’est pas toujours bien réapprovisionné, il faut souvent demander plusieurs fois pour avoir ce que l’on souhaite.
Enfin, le restaurant, selon le service, alterne l’excellent et le passable."
Gestuelle,Belgique,Chambre Double ou Lits Jumeaux Supérieure,5 nuits · juillet 2022,Bien,"7,0","A aimé  · La chambre est très bien
N'a pas aimé  · Le room service est très long et il y a beaucoup de fuites dans la salle de bain, donc nous nous retrouvons avec de l'eau partout"
Abdellah,Maroc,Chambre Double ou Lits Jumeaux Standard,2 nuits · juillet 2022,"très bon séjour globalement,","8,0",A aimé  · la propreté et l'accueil
Habib,Espagne,Chambre Double ou Lits Jumeaux Standard,1 nuit · juillet 2022,"Ma
Racine'kech","9,0","A aimé  · La chambre très  spacieuse, un personnel à l écoute et très réactif, un emplacement idéal pour se rendre  a là place Jamaa Lafna, et du quartier moderne de Gueliz, excellent rapport  qualité /prix .Nous recommandons sans réserve.
N'a pas aimé  · RAS"
Alia,France,Chambre Deluxe,1 nuit · juillet 2022,Fabuleux,"9,0","A aimé  · Hôtel propre confortable, très bien placé
Personnel très gentil et accueillant"
Faiçal,Belgique,Chambre Double ou Lits Jumeaux Standard,2 nuits · juillet 2022,Super  bien,"9,0",A aimé  · Super
Christophe,France,Chambre Double ou Lits Jumeaux Standard,2 nuits · juillet 2022,Très bien,"8,0","A aimé  · La gentillesse et disponibilité du personnel
N'a pas aimé  · Manque finfo sur les horaires piscine et terrasse"
Habib,Espagne,Chambre Double ou Lits Jumeaux Standard,4 nuits · juillet 2022,RAVI de RACINE,"9,0","A aimé  · L'accueil, la disponibilité du personnel, et la situation , des chambres spacieuses et confortables.
N'a pas aimé  · L'accueil et la disponibilité du personnel
Bon rapport qualité/prix"
Hamid,Maroc,Chambre Double ou Lits Jumeaux Standard,3 nuits · juillet 2022,Très bien,"8,0",A aimé  · La qualité de service
Marouane,France,Chambre Double ou Lits Jumeaux Standard,1 nuit · juillet 2022,Dormir tranquillement dans un endroit très spacieux et propre,"8,0","A aimé  · Personnel très agréable et souriant. Un lit immense. Une propreté exceptionnelle.
N'a pas aimé  · Au petit déjeuner. Les tables n'étaient pas débarrassées rapidement du coup on avait pas de table propre ou s'attabler...
L'eau de la piscine n'était pas très propre"
Carlo,France,Chambre Double ou Lits Jumeaux Standard,6 nuits · juillet 2022,Très bien.,"7,0","A aimé  · Le personnel est toujours au petit soin ! Le lit est très confortable on y dort très bien. L’emplacement est idéal, proche à pied de la place Jemma El Fna.
N'a pas aimé  · Le buffet est un peu trop simple, il n’y a pas beaucoup de choix."
Marlène,France,Chambre Double ou Lits Jumeaux Standard,4 nuits · mai 2022,hôtel agréable pour un court séjour,"7,0","A aimé  · l’emplacement , la piscine sur le toit
N'a pas aimé  · la Clim non fonctionnelle et non réparée malgré notre signalement , l’hygiène moyenne des sanitaires (vieillis donnant un aspect moins propres)"
Ikhlef,France,Chambre Double ou Lits Jumeaux Standard,5 nuits · juillet 2022,Très bien,"8,0",A aimé  · La discrétion du personnel et la gentillesse.surtout  samira
Amine,Belgique,Chambre Double ou Lits Jumeaux Standard,1 nuit · juillet 2022,Très bien,"8,0","A aimé  · L'emplacement, les personnelles, la piscine, le petit déjeuner"
Man,France,Chambre Deluxe,2 nuits · juillet 2022,Très bien,"8,0","A aimé  · Sur la terrasse Piscine libre accès
N'a pas aimé  · Nuisance sonore nocturne permanente"
Eve,France,Chambre Double ou Lits Jumeaux Supérieure,4 nuits · juillet 2022,Très bon séjour,"8,0","A aimé  · La propreté des chambres est irréprochable, la literie très confortable. Nous avons également apprécié le petit déjeuner très complet et le personnel a toujours répondu à nos attentes."
Abdessamad,France,Chambre Deluxe,1 nuit · juillet 2022,Très bien,"8,0","A aimé  · Un grand merci pour Fatina, Fatna et Mohamed le chauffeur, se sont des personnes très agréables.
Ils ont fait leur possible pour que notre séjour se passe au mieux.
Merci encore, on recommande :)"
Ludivine,Maroc,Chambre Double ou Lits Jumeaux Standard,6 nuits · juin 2022,Un superbe hotel avec un rapport qualité prix imbattable,"9,0","A aimé  · L'emplacement sans hesiter, la gentillesse du personnel et le restaurant de l'hôtel
N'a pas aimé  · Peut-être le bruit des gens qui ne respectent pas le soir et des femmes de ménage à 7h du matin qui claque les portes et sont bruyantes."
Méline,France,Chambre Double ou Lits Jumeaux Standard,5 nuits · juin 2022,Parfait,"9,0","A aimé  · Hôtel idéalement situé, propre, personnel accueillant toujours souriants. Petit déjeuner compris dans le tarif, plus que raisonnable au vue des prestations. Piscine sur le toit superbe. « Room service » 24h/24 on peut commander ce que l’on veut peut importe ou on se trouve dans l’hôtel … Pour les spa je recommande aussi le massage. Au top du top, merci !
N'a pas aimé  · Il manquerait juste un grand miroir dans la chambre car un seul dans la salle de bain pas évident de se préparer pour une fille …. Je n’ai que ça à reprocher"
Abdeslam,France,Chambre Double ou Lits Jumeaux Supérieure,3 nuits · juin 2022,Excellent,"9,0","A aimé  · Comme d’habitude : accueil, personnel adorable, hôtel très bien tenu.
Emplacement géographique + rapport qualité prix.
N'a pas aimé  · Rien à reprocher."
Nour-eddine,France,Chambre Double ou Lits Jumeaux Standard,1 nuit · juin 2022,"Hôtel agréable, mais un effort","8,0","A aimé  · L'accueil. La literie. L'emplacement
N'a pas aimé  · Le café du petit déjeuner avec un goût dégueulasse et une odeur liés  sans doute à l'entretien des distributeurs de café  non conforme."
Founax,France,Chambre Double ou Lits Jumeaux Supérieure,5 nuits · juin 2022,Fabuleux,"9,0","A aimé  · C'est ma 5ème fois dans cette hôtel et c'est toujours un plaisir de m'y rendre. Tout était parfait !
N'a pas aimé  · Rien"
